scope,tableName,length,pattern,sample,next_B,next_P,B_rate,P_rate,best_side,best_rate
global,ALL,7,PBPBBPB,94,52,42,55.3191,44.6809,B,55.3191
global,ALL,7,PBPBBPP,94,37,57,39.3617,60.6383,P,60.6383
global,ALL,7,PBPBBBP,92,40,52,43.4783,56.5217,P,56.5217
global,ALL,7,BBPPBPB,90,54,36,60.0,40.0,B,60.0
global,ALL,7,BPBBPBP,88,30,58,34.0909,65.9091,P,65.9091
global,ALL,7,PPBPBPP,88,42,46,47.7273,52.2727,P,52.2727
global,ALL,7,PPPBPBP,86,36,50,41.8605,58.1395,P,58.1395
global,ALL,7,PBPBPPB,83,54,29,65.0602,34.9398,B,65.0602
global,ALL,7,BPBPBBP,79,43,36,54.4304,45.5696,B,54.4304
global,ALL,7,BPBPPBP,79,34,45,43.038,56.962,P,56.962
global,ALL,7,BPBPBBB,78,49,29,62.8205,37.1795,B,62.8205
global,ALL,7,PBBPBPB,75,45,30,60.0,40.0,B,60.0
global,ALL,7,PBPPBPB,75,52,23,69.3333,30.6667,B,69.3333
global,ALL,7,PBPBPPP,73,38,35,52.0548,47.9452,B,52.0548
global,ALL,7,BBPBPBP,66,24,42,36.3636,63.6364,P,63.6364
global,ALL,7,BPBPBPP,63,38,25,60.3175,39.6825,B,60.3175
global,ALL,7,BPPBPBP,58,20,38,34.4828,65.5172,P,65.5172
global,ALL,7,PBPBPBB,56,29,27,51.7857,48.2143,B,51.7857
global,ALL,7,PPBPBPB,55,32,23,58.1818,41.8182,B,58.1818
global,ALL,7,PBPBPBP,42,18,24,42.8571,57.1429,P,57.1429
global,ALL,7,BPBPBPB,41,22,19,53.6585,46.3415,B,53.6585
global,ALL,8,BBBBBBBB,225,137,88,60.8889,39.1111,B,60.8889
global,ALL,8,BBBBPPPP,173,73,100,42.1965,57.8035,P,57.8035
global,ALL,8,BBBPPPPP,171,76,95,44.4444,55.5556,P,55.5556
global,ALL,8,PBBBBBBB,164,85,79,51.8293,48.1707,B,51.8293
global,ALL,8,PPPPPBBB,163,79,84,48.4663,51.5337,P,51.5337
global,ALL,8,BBBBBBBP,162,72,90,44.4444,55.5556,P,55.5556
global,ALL,8,BBPPPPPP,159,79,80,49.6855,50.3145,P,50.3145
global,ALL,8,BBBBBBPP,157,66,91,42.0382,57.9618,P,57.9618
global,ALL,8,PPBBBBBB,156,93,63,59.6154,40.3846,B,59.6154
global,ALL,8,PPPPPPPP,149,65,84,43.6242,56.3758,P,56.3758
global,ALL,8,BBBBBPPP,146,53,93,36.3014,63.6986,P,63.6986
global,ALL,8,PPPBBPPP,145,66,79,45.5172,54.4828,P,54.4828
global,ALL,8,PPPPPPBB,140,83,57,59.2857,40.7143,B,59.2857
global,ALL,8,PPPPBBBB,139,78,61,56.1151,43.8849,B,56.1151
global,ALL,8,BPPBBBBB,138,82,56,59.4203,40.5797,B,59.4203
global,ALL,8,PPPBBBBB,136,74,62,54.4118,45.5882,B,54.4118
global,ALL,8,PPPPBBBP,136,64,72,47.0588,52.9412,P,52.9412
