length,min_sample,min_rate,bet_count,win,loss,hit_rate,pass_count
7,300,56.0,81,43,38,53.0864,18
7,300,57.0,34,15,19,44.1176,65
7,300,58.0,6,3,3,50.0,93
7,300,59.0,0,0,0,0.0,99
7,300,60.0,0,0,0,0.0,99
8,30,55.0,8870,5088,3782,57.3619,3341
8,30,56.0,8060,4626,3434,57.3945,4151
8,30,57.0,7129,4094,3035,57.4274,5082
8,30,58.0,6245,3612,2633,57.8383,5966
8,30,59.0,5408,3141,2267,58.0806,6803
8,30,60.0,4722,2732,1990,57.8568,7489
8,50,55.0,5650,3246,2404,57.4513,2119
8,50,56.0,5084,2923,2161,57.4941,2685
8,50,57.0,4424,2549,1875,57.6175,3345
8,50,58.0,3790,2194,1596,57.8892,3979
8,50,59.0,3201,1863,1338,58.2006,4568
8,50,60.0,2698,1568,1130,58.1171,5071
8,100,55.0,1181,696,485,58.9331,469
8,100,56.0,1059,624,435,58.9235,591
8,100,57.0,913,539,374,59.0361,737
8,100,58.0,716,429,287,59.9162,934
8,100,59.0,578,352,226,60.8997,1072
8,100,60.0,419,250,169,59.6659,1231
8,200,55.0,25,17,8,68.0,0
8,200,56.0,25,17,8,68.0,0
8,200,57.0,25,17,8,68.0,0
8,200,58.0,25,17,8,68.0,0
8,200,59.0,25,17,8,68.0,0
8,200,60.0,25,17,8,68.0,0
8,300,55.0,0,0,0,0.0,0
8,300,56.0,0,0,0,0.0,0
8,300,57.0,0,0,0,0.0,0
8,300,58.0,0,0,0,0.0,0
8,300,59.0,0,0,0,0.0,0
8,300,60.0,0,0,0,0.0,0
